Date,Equal_Weighted_Index,Daily_Percent_Return,Cumulative_Return,Constituent_Tickers,Rebalance_Date,Tickers_Added,Tickers_Removed,Composition_Change_Count,Best_Performing_Day,Worst_Performing_Day,Aggregate_Return
2025-07-14 00:00:00,100.0,0.0,0.0,"ADBE,ADI,ADP,AEP,AME,AMT,ANET,APO,APTV,AVY,BA,BALL,BDX,BMY,BRO,BX,CARR,CBRE,CFG,CHD,CMS,COIN,CPRT,CRM,CSX,CTAS,CTRA,CTVA,CVX,EXC,EXPD,FE,FFIV,FIS,GEHC,GM,GPN,GS,GWW,HLT,HON,HUM,HWM,IBM,IFF,INTU,INVH,ITW,J,JBHT,JPM,KDP,KKR,KMB,LEN,LLY,LOW,LRCX,MAR,MAS,MCO,MDLZ,MMM,MSI,MTB,NKE,NSC,NTAP,NVDA,NWSA,ORLY,PEG,PEP,PGR,PHM,PM,PNC,PODD,PPL,ROK,ROST,RSG,SHW,SOLV,STX,STZ,T,TDG,TDY,TFC,TMO,TRGP,TROW,TTD,TXN,VRSK,VST,WMT,XYL,ZBH",2025-07-14,"ADBE,ADI,ADP,AEP,AME,AMT,ANET,APO,APTV,AVY,BA,BALL,BDX,BMY,BRO,BX,CARR,CBRE,CFG,CHD,CMS,COIN,CPRT,CRM,CSX,CTAS,CTRA,CTVA,CVX,EXC,EXPD,FE,FFIV,FIS,GEHC,GM,GPN,GS,GWW,HLT,HON,HUM,HWM,IBM,IFF,INTU,INVH,ITW,J,JBHT,JPM,KDP,KKR,KMB,LEN,LLY,LOW,LRCX,MAR,MAS,MCO,MDLZ,MMM,MSI,MTB,NKE,NSC,NTAP,NVDA,NWSA,ORLY,PEG,PEP,PGR,PHM,PM,PNC,PODD,PPL,ROK,ROST,RSG,SHW,SOLV,STX,STZ,T,TDG,TDY,TFC,TMO,TRGP,TROW,TTD,TXN,VRSK,VST,WMT,XYL,ZBH",,100,nan,nan,
2025-07-15 00:00:00,98.8863,-1.1137,-1.1137,"ABNB,ABT,ADBE,ADI,ADP,AFL,ANET,APO,APTV,ARE,AVY,BA,BALL,BDX,BMY,BRO,BX,CFG,CHD,CMS,COIN,CPRT,CRM,CSX,CTAS,CTRA,CTVA,CVX,DHR,GEHC,GM,GPN,GS,GWW,HAS,HLT,HON,HUM,HWM,IBM,IFF,INTU,INVH,ITW,J,JBHT,JPM,KDP,KKR,KMB,KR,LLY,LOW,LRCX,MAR,MAS,MCO,MDLZ,MMM,MSI,MTB,NKE,NSC,NTAP,NVDA,NWSA,OMC,ORLY,PEG,PEP,PGR,PHM,PM,PNC,PODD,PPL,ROK,ROST,RSG,SHW,SJM,SOLV,STLD,STX,STZ,SWK,T,TDG,TDY,TFC,TMO,TRGP,TTD,TXN,USB,VST,VTRS,WM,WMT,ZBH",2025-07-15,"ABNB,ABT,AFL,ARE,DHR,HAS,KR,OMC,SJM,STLD,SWK,USB,VTRS,WM","AEP,AME,AMT,CARR,CBRE,EXC,EXPD,FE,FFIV,FIS,LEN,TROW,VRSK,XYL",28,nan,nan,
2025-07-16 00:00:00,99.4754,0.5957,-0.5246,"ABNB,ABT,ADBE,ADP,AFL,ANET,APO,APTV,AVY,BA,BALL,BDX,BG,BMY,BRO,BX,CFG,CHD,CMS,COIN,CPRT,CRM,CSX,CTAS,CTRA,CTVA,DE,DGX,DHR,DLR,DVN,ECL,FI,FTV,GM,GPN,GS,GWW,HLT,HON,IBM,IFF,INTU,INVH,ITW,J,JBHT,JPM,KDP,KKR,KMB,KR,LLY,LOW,LRCX,MAR,MAS,MCO,MET,MKC,MMM,MSI,MTB,NKE,NSC,NTAP,NVDA,NWSA,OMC,ORCL,ORLY,PEG,PGR,PHM,PM,PNC,PODD,PPL,ROK,ROST,RSG,SHW,SMCI,STLD,STX,STZ,T,TDG,TDY,TFC,TMO,TRGP,TTD,TXN,ULTA,USB,VST,WFC,WM,WMT",2025-07-16,"BG,DE,DGX,DLR,DVN,ECL,FI,FTV,MET,MKC,ORCL,SMCI,ULTA,WFC","ADI,ARE,CVX,GEHC,HAS,HUM,HWM,MDLZ,PEP,SJM,SOLV,SWK,VTRS,ZBH",28,nan,nan,
2025-07-17 00:00:00,100.1404,0.6685,0.1404,"ABNB,ABT,ADBE,ADP,AFL,ARE,AVY,BA,BALL,BDX,BEN,BG,BMY,BRO,BX,CDNS,CMS,COIN,CPRT,CRM,CSX,CTAS,CTRA,CTVA,DE,DGX,DHR,DLR,DOV,DVA,DVN,EA,ECL,EQIX,ESS,FI,FTV,GOOG,GPN,GS,GWW,HLT,HON,IFF,INTU,INVH,J,JBHT,JPM,KDP,KKR,KMB,KR,LLY,LNT,LRCX,MAR,MAS,MDT,MET,MKC,MMM,MTB,NCLH,NKE,NSC,NVDA,OMC,ORCL,ORLY,PEG,PGR,PHM,PKG,PNC,PODD,PPL,ROST,SHW,SJM,SMCI,SOLV,STLD,STX,STZ,SWK,T,TDG,TDY,TFC,TMO,TTD,ULTA,UPS,USB,VST,WDC,WFC,WM,WMT",2025-07-17,"ARE,BEN,CDNS,DOV,DVA,EA,EQIX,ESS,GOOG,LNT,MDT,NCLH,PKG,SJM,SOLV,SWK,UPS,WDC","ANET,APO,APTV,CFG,CHD,GM,IBM,ITW,LOW,MCO,MSI,NTAP,NWSA,PM,ROK,RSG,TRGP,TXN",36,nan,nan,
2025-07-18 00:00:00,100.0339,-0.1063,0.0339,"ABNB,ABT,ADBE,ADP,AFL,ARE,AVY,BA,BALL,BEN,BG,BMY,BRO,CAG,CDNS,COIN,CPB,CPRT,CRM,CSX,CTRA,CTVA,D,DE,DGX,DHR,DLR,DOV,DTE,DVA,DVN,EA,ECL,EMN,ENPH,EPAM,EQIX,ESS,EVRG,FI,FTV,GOOG,GWW,HON,INTU,INVH,J,JBHT,JPM,KDP,KKR,KMB,KR,LNT,LRCX,MAR,MAS,MCHP,MDT,MET,MKC,MMM,MTB,NCLH,NSC,NVDA,OMC,ORCL,ORLY,PEG,PGR,PH,PHM,PKG,PPL,RTX,SHW,SJM,SMCI,SOLV,STLD,STX,STZ,SWK,SYY,TDG,TECH,TFC,TTD,UHS,ULTA,UPS,USB,VST,WDC,WFC,WM,WMB,WMT",2025-07-18,"CAG,CPB,D,DTE,EMN,ENPH,EPAM,EVRG,MCHP,PH,RTX,SYY,TECH,UHS,WMB","BDX,BX,CMS,CTAS,GPN,GS,HLT,IFF,LLY,NKE,PNC,PODD,ROST,T,TDY,TMO",31,nan,nan,
2025-07-21 00:00:00,99.8411,-0.1927,-0.1589,"ABNB,ABT,AFL,AMCR,ARE,AWK,AXP,BEN,BG,CAT,CDNS,CDW,CNP,CPB,D,DE,DGX,DHR,DLR,DOV,DTE,DVA,DVN,EA,ECL,EMN,ENPH,EPAM,EQIX,ESS,EVRG,EXE,EXR,FDS,FI,FITB,FRT,FTV,GOOG,IT,KMX,KR,LNT,MAA,MCHP,MDT,MET,MKC,OMC,ORCL,PH,PKG,PYPL,RTX,SCHW,SJM,SMCI,STLD,SWK,SYY,UHS,ULTA,UPS,USB,VLTO,WDC,WFC,WM,WMB,WYNN",2025-07-21,"AMCR,AWK,AXP,CAT,CDW,CNP,EXE,EXR,FDS,FITB,FRT,IT,KMX,MAA,PYPL,SCHW,VLTO,WYNN","ADBE,ADP,AVY,BA,BALL,BMY,BRO,CAG,COIN,CPRT,CRM,CSX,CTRA,CTVA,GWW,HON,INTU,INVH,J,JBHT,JPM,KDP,KKR,KMB,LRCX,MAR,MAS,MMM,MTB,NCLH,NSC,NVDA,ORLY,PEG,PGR,PHM,PPL,SHW,SOLV,STX,STZ,TDG,TECH,TFC,TTD,VST,WMT",65,nan,nan,
2025-07-22 00:00:00,101.2023,1.3633,1.2023,"AMCR,AMGN,AWK,AXP,BEN,BG,CAT,CDNS,CDW,CMG,CNP,CPB,D,DE,DGX,DLR,DOV,DTE,DVA,DVN,EA,ECL,EMN,ENPH,EPAM,EQIX,ESS,EVRG,EXE,EXR,FDS,FI,FITB,FRT,FTV,GOOG,HBAN,HRL,IT,KMX,LHX,LNT,MAA,MCHP,MDT,MET,MKC,MOH,NFLX,ORCL,PFE,PH,PKG,PYPL,REGN,RTX,SCHW,SMCI,SYY,TTWO,UHS,ULTA,UPS,VLTO,VZ,WDC,WFC,WMB,WYNN,YUM",2025-07-22,"AMGN,CMG,HBAN,HRL,LHX,MOH,NFLX,PFE,REGN,TTWO,VZ,YUM","ABNB,ABT,AFL,ARE,DHR,KR,OMC,SJM,STLD,SWK,USB,WM",24,nan,nan,
2025-07-23 00:00:00,101.329,0.1252,1.329,"AAPL,AMCR,AMGN,AON,AWK,AXP,BEN,CAT,CDNS,CDW,CMG,CNP,CPB,D,DOV,DTE,EA,ENPH,EPAM,EQIX,ESS,EVRG,EXE,EXR,FDS,FITB,FRT,GEV,GOOG,HBAN,HPQ,HRL,IEX,INTC,IT,KMX,LHX,LMT,LNT,MAA,MCHP,MDT,MOH,MPWR,MS,MSCI,NFLX,NWS,PFE,PH,PKG,PYPL,REGN,RMD,RTX,SCHW,SYY,TER,TGT,TPL,TTWO,UHS,UPS,VLTO,VZ,WDC,WMB,WYNN,YUM,ZTS",2025-07-23,"AAPL,AON,GEV,HPQ,IEX,INTC,LMT,MPWR,MS,MSCI,NWS,RMD,TER,TGT,TPL,ZTS","BG,DE,DGX,DLR,DVA,DVN,ECL,EMN,FI,FTV,MET,MKC,ORCL,SMCI,ULTA,WFC",32,nan,nan,
2025-07-24 00:00:00,100.4916,-0.8264,0.4916,"AAPL,ACGL,AJG,AMCR,AMGN,AON,AWK,AXP,BIIB,BRK.B,CAT,CDW,CI,CLX,CMG,CNP,CPB,D,DTE,EVRG,EXE,EXR,FDS,FITB,FRT,GD,GEV,GL,GPC,HAL,HBAN,HCA,HPQ,HRL,IEX,INCY,INTC,IP,IT,KMX,KO,LHX,LIN,LMT,LULU,MAA,MCHP,MOH,MPWR,MS,MSCI,NFLX,NWS,PFE,PH,POOL,PSX,PYPL,REGN,RMD,ROL,RTX,SCHW,SYY,TER,TGT,TJX,TPL,TTWO,UHS,VICI,VLTO,VZ,WMB,WYNN,YUM,ZTS",2025-07-24,"ACGL,AJG,BIIB,BRK.B,CI,CLX,GD,GL,GPC,HAL,HCA,INCY,IP,KO,LIN,LULU,POOL,PSX,ROL,TJX,VICI","BEN,CDNS,DOV,EA,ENPH,EPAM,EQIX,ESS,GOOG,LNT,MDT,PKG,UPS,WDC",35,nan,nan,
2025-07-25 00:00:00,100.7315,0.2388,0.7315,"AAPL,ACGL,AJG,AMCR,AMGN,AON,ATO,AWK,AXON,AXP,BIIB,BRK.B,CAT,CDW,CI,CL,CLX,CMG,CNP,COP,CSCO,EXE,EXR,FDS,FITB,FRT,GD,GEV,GL,GPC,HAL,HBAN,HCA,HOLX,HPQ,HRL,HSY,IEX,INCY,INTC,IP,ISRG,IT,KMX,KO,LHX,LIN,LMT,LULU,LVS,MAA,MOH,MPC,MPWR,MS,MSCI,NFLX,NI,NWS,PFE,PFG,PLD,POOL,PSX,PYPL,RCL,REGN,RMD,ROL,SCHW,TER,TGT,TJX,TPL,TSCO,TTWO,VICI,VLTO,VZ,WYNN,YUM,ZTS",2025-07-25,"ATO,AXON,CL,COP,CSCO,HOLX,HSY,ISRG,LVS,MPC,NI,PFG,PLD,RCL,TSCO","CPB,D,DTE,EVRG,MCHP,PH,RTX,SYY,UHS,WMB",25,nan,nan,
