Ticker,Date,Close_Date,Market_Cap
A,2025-07-11,123.28,33874718814.0
ABBV,2025-07-11,192.45,331430199956.01
ABNB,2025-07-11,135.35,84558147435.0
ABT,2025-07-11,132.02,232616232302.99997
ACGL,2025-07-11,87.84,33510549625.5
ACN,2025-07-11,281.06,187192149556.38
ADI,2025-07-11,244.675,119997776274.76
ADM,2025-07-11,54.94,26194134817.800003
ADP,2025-07-11,302.65,125186575791.59999
AEE,2025-07-11,96.2,26007746628.09
AEP,2025-07-11,105.34,55647095858.42
AES,2025-07-11,12.59,8201350828.799999
AFL,2025-07-11,101.57,55621560480.64
AIG,2025-07-11,81.78,47852701487.8
AIZ,2025-07-11,187.56,9711523138.96
AJG,2025-07-11,311.54,80930671710.0
ALL,2025-07-11,193.33,51517597422.7
ALLE,2025-07-11,148.81,12748202313.5
AMGN,2025-07-11,295.27,157521007268.1
AMT,2025-07-11,219.24,102999776664.90001
ANET,2025-07-11,108.57,127438347603.56999
AON,2025-07-11,355.67,76276456528.68001
AOS,2025-07-11,69.08,9671941398.52
APA,2025-07-11,20.11,7004003779.2
APD,2025-07-11,291.97,64319728730.28
APH,2025-07-11,98.76,119205989432.55
AVB,2025-07-11,201.86,28823861115.420002
AVY,2025-07-11,182.21,14095054008.900002
AXON,2025-07-11,729.62,62448807353.92
AXP,2025-07-11,319.47,226101046015.1
AZO,2025-07-11,3705.64,63412532436.96
BA,2025-07-11,226.84,164848216780.62
BAX,2025-07-11,28.7,15236154556.87
BBY,2025-07-11,71.79,14902055393.94
BDX,2025-07-11,175.97,49568752251.299995
BF.B,2025-07-11,29.01,13133069533.74
BG,2025-07-11,76.74,14971257704.55
BK,2025-07-11,93.72,66714247076.25
BKNG,2025-07-11,5717.1,189252002580.96
BLDR,2025-07-11,133.28,13798880175.48
BRK.B,2025-07-11,475.86,1031270721459.9299
BSX,2025-07-11,103.2,153610914001.35
BXP,2025-07-11,70.77,10659995048.68
C,2025-07-11,86.73,163613470368.0
CAG,2025-07-11,19.4,9744611527.95
CAH,2025-07-11,160.97,40009426348.15
CB,2025-07-11,278.05,112197553345.45001
CBRE,2025-07-11,140.5,42491865746.619995
CCL,2025-07-11,28.66,39740906050.979996
CDW,2025-07-11,177.38,23355678204.0
CFG,2025-07-11,47.67,20407527493.08
CHD,2025-07-11,98.05,24278019684.3
CHRW,2025-07-11,99.4,11484813066.060001
CI,2025-07-11,303.27,83783932697.11
CL,2025-07-11,89.58,75636509612.94
CLX,2025-07-11,126.54,15351137111.85
CMCSA,2025-07-11,34.99,132322467172.87999
CME,2025-07-11,275.08,101819504674.75
CMG,2025-07-11,56.0,74724807440.0
CMI,2025-07-11,338.82,45162942981.450005
CMS,2025-07-11,70.35,20827986364.35
CNC,2025-07-11,31.44,16445779149.999998
CNP,2025-07-11,36.14,23654877143.52
COF,2025-07-11,219.79,139523532161.97
COP,2025-07-11,95.61,116836047906.3
COR,2025-07-11,295.21,58631604817.5
CPAY,2025-07-11,324.39,23412284946.12
CPB,2025-07-11,31.24,9185384437.32
CPRT,2025-07-11,47.46,47215495329.619995
CSGP,2025-07-11,85.43,34425950884.799995
CSX,2025-07-11,34.1,62085941036.549995
CTVA,2025-07-11,73.57,52240578600.0
CVS,2025-07-11,64.78,84351495525.72
CVX,2025-07-11,155.31,255296800000.0
D,2025-07-11,57.39,48131499827.24
DAL,2025-07-11,56.65,32647420100.0
DASH,2025-07-11,240.44,104618187021.25
DD,2025-07-11,75.49,30542035490.9
DE,2025-07-11,512.41,138200337895.95
DECK,2025-07-11,101.73,15802843781.25
